短评内容,头像,星级评分数,j,用户连接,用户名,是否看过,评论时间
十星不够打，《花少2》后中国综艺史又一座里程碑，一部为自恋巨婴量身打造的醒世恒言。世间万般情感大抵相同，不要奢望对方给你他做不到的（像乞丐一样），也不要假装能给对方你根本没有的（像骗子一样）。确定关系前先撒泡尿照照镜子，看清自己的丑陋，再决定自己在感情中理应付出多少，没有谁是欠你的，每个人都有爱或不爱的自由。,https://img9.doubanio.com/icon/u2201715-16.jpg,411,,https://www.douban.com/people/duduxiongzhifu/,嘟嘟熊之父,看过,"
                    2021-07-28 15:51:38
                "
我支持这个综艺剪个120分钟版选送奥斯卡。,https://img3.doubanio.com/icon/u160950899-10.jpg,377,,https://www.douban.com/people/160950899/,直不陀螺,看过,"
                    2021-10-21 01:39:51
                "
是我泪点太低了吗，三对夫妻前面的采访我都蚌埠住了，观察嘉宾都很认真地在看在讨论在做笔记。其实总觉得节目名叫“再见爱人”不是很准确，是“再见婚姻”，当爱消失殆尽，我们之间便只剩婚姻了。结婚不一定是为了幸福，但是离婚一定是为了幸福。,https://img2.doubanio.com/icon/u120839674-1.jpg,882,,https://www.douban.com/people/120839674/,许光汉,看过,"
                    2021-07-28 13:41:08
                "
好好哭 爱又怎么样 不爱又怎么样,https://img1.doubanio.com/icon/u41405995-47.jpg,390,,https://www.douban.com/people/41405995/,今天要吃火锅,看过,"
                    2021-07-28 22:43:08
                "
听别人说章贺和郭柯宇是渣男渣女好不爽，两人闪婚好像并没有插足或者什么吧！他俩的婚姻很现实，这才是大部分人的婚姻，（难道说中国一小半普通没大错婚姻中的人都是渣男渣女？？）他俩真的很真实，在节目里说的话很实在，他俩也没有伤害过彼此吧！凭什么说他们是渣男渣女，可以从她们的婚姻关系中去指出谁的小错误，但没资格去职责她们的人格。 佟晨洁和魏巍的讲述也比较真实 电视剧要是能拍些这些的能被惨骂？ 中国电视剧行业净知道学，抄韩国的东西，拍些真正生活中的不好吗？ 还有很多人都不认识这里面的人，我觉得这样才好，更能接近普通人的生活，不太因为外在因素而虚伪做作，这种节目一二线的明星不可能来的，因为很多人会有所谓的人设，再是不能给他们带来一些实质性的效益，然后是不希望自己的缺点被暴露在外面，总的就是爱把假的虚的展现,https://img2.doubanio.com/icon/u219360844-1.jpg,785,,https://www.douban.com/people/219360844/,知燚,看过,"
                    2021-08-02 15:31:54
                "
对啊，王秋雨一个连自己都不爱的人，你怎么可以期待他会爱别人，爱儿子也只不过是出于动物的本能吧！,https://img2.doubanio.com/icon/u149086035-1.jpg,254,,https://www.douban.com/people/149086035/,JaapWagenaar,看过,"
                    2021-08-08 16:58:10
                "
要允许KK这样的男人存在，否则就会出现老王这样的人。要找到互补适配的伴侣真的很难…,https://img9.doubanio.com/icon/u159765909-4.jpg,694,,https://www.douban.com/people/159765909/,一溪云,看过,"
                    2021-07-29 10:17:59
                "
三对选的很有特点，第一对是活在各自世界的两个社会时钟人，是最熟悉的陌生人，也是十年磨一离的契约守护者；第二对是操心妈妈和活宝儿子，赚钱养家的能力还是不足以支撑起在你心中一个成年人的形象；第三对是旧时代老爸和新时代少女，契合的爱情被不契合的价值排序摧毁了。,https://img2.doubanio.com/icon/u182910576-11.jpg,312,,https://www.douban.com/people/182910576/,薯条不加番茄酱,看过,"
                    2021-08-05 16:15:40
                "
最后一集把片尾曲都看完了，百感交集，每个嘉宾都展示出脆弱的像孩子的一面，永远渴求爱，追求爱，节目难得展现出爱中的个人局限，也接受错位造成的无可挽回的现实。作为观众从每个人身上都看出了一部分的自己，这部真人秀有比文艺作品更丰沛的表达。,https://img2.doubanio.com/icon/u1005588-3.jpg,156,,https://www.douban.com/people/auntbear/,熊阿姨,看过,"
                    2021-10-20 16:45:18
                "
我的目光都在孙怡身上。年轻漂亮又有很多影视作品。演技不俗。有观众缘。还嫁了个好老公董子健。还生了个可爱的宝宝。对于婚姻和爱情。我挺喜欢听她发言的。,https://img9.doubanio.com/icon/u2055364-25.jpg,413,,https://www.douban.com/people/leexiang/,李湘,看过,"
                    2021-07-29 16:44:34
                "
第一期我真的看哭几次，就太能感同身受女生的点了。很真实，以及决定好好看《亲密关系》那本书。,https://img9.doubanio.com/icon/u123834331-5.jpg,200,,https://www.douban.com/people/123834331/,喵喵喵喵,看过,"
                    2021-07-28 14:40:25
                "
良心综艺，从每个嘉宾身上，看到很多自己的影子，试着去反思，去理解，推荐身边朋友看,https://img1.doubanio.com/icon/u2563145-8.jpg,206,,https://www.douban.com/people/2563145/,黑芝麻蛋糕,看过,"
                    2021-07-28 15:31:19
                "
郭柯宇的动人是，你好像看到一只蚌慢慢地打开自己的壳，给你看到它最隐秘，赤裸，柔软，最珍贵的那个部分，这一瞬间没有人能不被打动，因为那非常的罕见，多美啊。但只要转念一想，又立刻非常非常地心疼，别打开啊，别再受伤了。纯净，脆弱，疼痛，不松口，光华内蕴——这个人既是珍珠的孕育者，也是珍珠本身。,https://img1.doubanio.com/icon/u154736326-309.jpg,171,,https://www.douban.com/people/154736326/,陈妙尝,看过,"
                    2021-10-27 19:23:42
                "
看节目生气，看弹幕更生气。不要再怪朱雅琼了！得亏了她是个自我的人，才不至于跟老王这样的人待19年而没有精神崩溃。老王的概念里：我跟你结婚了就是什么都给你了，从领证起，我不会再关心你的想法、情绪、爱好、心情，我不理你的时候你不要来打扰我，我可以跟你见面或吃饭的时候你要提前约我我才能排出时间。除吃饭之外，婚礼、出游、散步、交流都是没有意义的，不要来浪费我的时间来就别怪我发火。请问宁配有老婆吗？,https://img1.doubanio.com/icon/u61343192-9.jpg,157,,https://www.douban.com/people/61343192/,My Cola,看过,"
                    2021-09-09 11:32:09
                "
导演决定节目的上限，俩小姑娘对爱情和婚姻理解的好透彻呢，炒韩国综艺的L10n能不能走点新？ 孙怡梨花带雨的哭惨令人作呕，我不是靠我的婆婆，我都是自己一点一点的努力呢，你自己的努力是出色的演技还是塑造的角色？。套用牛姐一句话，I don't know her.,https://img9.doubanio.com/icon/u83406699-15.jpg,32,,https://www.douban.com/people/Everlanded/,有刀有盾,看过,"
                    2021-08-28 12:19:37
                "
接近素人真人秀了。夫妻我都是查了百科才知道，原来他们也曾是拥有姓名的艺人。,https://img2.doubanio.com/icon/u29335527-3.jpg,419,,https://www.douban.com/people/leave614/,Leave,看过,"
                    2021-07-28 17:14:54
                "
怎么会有人看着对方流眼泪而无动于衷,https://img2.doubanio.com/icon/u142650334-2.jpg,139,,https://www.douban.com/people/142650334/,Smother,看过,"
                    2021-09-09 00:42:48
                "
"我的天没想到抄袭来的这么快，不愧是老?了。

现实里婚姻连剧本都没这么魔幻吧，
看完太让人恐婚了……

这三对除了kk两口子都好窒息啊，黄执中真的是眼光老辣，输出到位，man knows man，老王真的是连自己都不爱怎么会去爱别人呢？他的心根本捂不热啊我的天。妹子你醒醒，九年拖太久了……一直在被pua，看得我骂脏话了。

另外一对纯粹是为了结婚而结婚，然后就……各自安好吧。

为啥kk那对还没离，因为两个人沟通还没有问题，但是女方估计当妈有点累了。",https://img3.doubanio.com/icon/u127449286-20.jpg,350,,https://www.douban.com/people/Sunrisecool/,Sunrise,看过,"
                    2021-07-28 18:37:20
                "
可以当作文学作品去读的节目。K佟是甜宠都市文学，也能蹭个大女主题材的热度；小朱和老王是主题明确、情节单一、人物性格鲜明的早期现实主义戏剧，结局还上演了一出“出走的娜拉”；章贺和郭柯宇则是《红楼梦》级别的，虚虚实实真真假假，想寻个答案到头来落了个白茫茫一片大地真干净。,https://img1.doubanio.com/icon/u150253710-37.jpg,112,,https://www.douban.com/people/150253710/,易安,看过,"
                    2021-10-29 00:55:39
                "
第一集：同志们千万不要被社会时钟催进婚姻，千万不要高估了自己对没有爱情的婚姻的容忍度，千万不要找跟自己的价值观有代沟的人，如果结婚不是为了幸福，那么就只能为了幸福而选择离婚。第二集预告：对于前任，谢谢你爱过我，也希望你不后悔爱过我。,https://img2.doubanio.com/icon/u4147269-93.jpg,161,,https://www.douban.com/people/chenxiaohan/,陈小憨˙?˙,看过,"
                    2021-07-31 22:18:14
                "
第一期看完下来 mg是花了精力去打造的，3对夫妻选得不错  想离  在离 已离，不同的3个阶段。我开始觉得是否需要加一对素人老夫妻，用他们的视角来诉说2人几十年的婚姻之道，但是有点跟主题不符，可能需要从开一个节目吧。暂时4星，看看结尾王朱 和柯贺，各有收获但能否保持初心，再来改。我的楚楚啊，红樱桃时那样灵性，唏嘘。。。,https://img2.doubanio.com/icon/u3172592-2.jpg,204,,https://www.douban.com/people/3172592/,蓝,看过,"
                    2021-07-28 23:50:47
                "
作为被社会标签大龄未婚的女青年，觉得离婚综艺比结婚综艺感同身受多了。 王秋雨一个老男人哭着不想离婚不是因为他老婆而是舍不得孩子，kk一个妈宝男自己啥啥不行还一个劲儿让他老婆生孩子给自己印戳。一个个的真的是绝了??,https://img1.doubanio.com/icon/u3550478-47.jpg,148,,https://www.douban.com/people/laLavande/,xuer,看过,"
                    2021-08-11 21:17:25
                "
1.有没有爱存在，都很孤独呐。 2.漫长的人生中，分别与爱并不一定相悖。 3.没有爱情怎么了？有爱情就能好好道别么。 4.如果一个人不爱自己，那么别人的爱也很难附着在他身上。 5.有的人想在婚姻中得到爱和心，有的人只看到生活。 6.情绪不是你的对立面，它是你自己。 7.爱人是持续一生浪漫的疾病。,https://img2.doubanio.com/icon/u154658508-12.jpg,221,,https://www.douban.com/people/154658508/,Maybe,看过,"
                    2021-08-06 10:20:36
                "
章贺和郭柯宇是什么神仙剧情！哭得我差点儿背过去，却说不清楚自己为什么哭。大概是因为另外两对一个是妈妈带儿子，一个是爸爸带闺女，只有这一对是两个平等、“正常”的成年人。母子模式和父女模式再怎么闹腾，总有一个人先妥协、先服软，而平等的成年人却经常把自尊看得比命都重要。暴风哭泣。,https://img9.doubanio.com/icon/u62675594-4.jpg,97,,https://www.douban.com/people/62675594/,赫恩曼尼,看过,"
                    2021-10-21 23:42:42
                "
节目里女人思想比男人进步，比较喜欢佟晨洁。,https://img1.doubanio.com/icon/u84789094-7.jpg,225,,https://www.douban.com/people/84789094/,北北,看过,"
                    2021-08-28 20:13:11
                "
黄执中：不要试图用婚姻来解决现在生活中的问题，也不要高估你对没有爱情的婚姻的容忍度。感情中的正向回馈很重要，爱情需要伴侣的鼓励和认可，人被爱的感觉是我被看见了。,https://img2.doubanio.com/icon/u194392383-2.jpg,156,,https://www.douban.com/people/194392383/,Laura,看过,"
                    2021-09-01 23:44:59
                "
“我一生中最幸福的两件事。一件是，时间终于将我对你的爱消耗殆尽。一件是，很久很久以前有一天，我遇见你。” 每一对新人会出于各种原因宣誓结合、承诺此生，最后大多以同一种失败的姿态丢盔弃甲、落荒而逃，无非是现实生活消磨了彼此间的一切幻想以及耐心，我和你如此亲密，生命里找不到第二个这样的人，所以有时候错误地把你当成我自己，忘了行为需要被兑现在心灵之外，也同样高估了双方之间积年累月的默契，把心照不宣当作理所当然，失望和疲惫伤害了最初的好奇，解释变得苍白无力，埋怨开始生根发芽，争吵也随之而来，计较得失、清算爱的收支，从一开始的伤心愤怒，到委屈不甘，再到最后的挫败释然。或许，除了学习相爱，我们也应该懂得接受它的变质和湮灭，当离别的时刻来临，回望这一路，彼此祝福，然后解开羁绊，放他自由。谢谢，再见，爱人。,https://img1.doubanio.com/icon/u132903232-7.jpg,132,,https://www.douban.com/people/132903232/,有栖月,看过,"
                    2021-08-11 01:14:44
                "
对比越来越没救的那两对儿，看着章贺郭柯宇，突然悟了： 婚姻就是爱情的坟墓，一旦跳出坟墓，爱情立马起死回生,https://img2.doubanio.com/icon/u150924191-3.jpg,102,,https://www.douban.com/people/150924191/,阳聪嘻嘻,看过,"
                    2021-08-20 12:54:32
                "
本来一直在追的，但是请倪萍阿姨来说什么“在离异家庭长大的小孩会自卑”这种话让我一下就看不下去了。我想说的是，作为一个从“未离异家庭”成长起来的孩子，父母在一起但不开心，对自己的伤害更大好吗。。什么老掉牙的观点了。,https://img2.doubanio.com/icon/u170033566-2.jpg,160,,https://www.douban.com/people/170033566/,zhuzhujitazhu,看过,"
                    2021-08-12 00:23:16
                "
2021年度最佳！敢剖析敢呈现，有思想有真相。虽然是真人秀却是纪录片的观感。离异的，准备离异的，正在离异的等三类家庭的各自情感内幕具象真实地呈现，震动观众的心灵。,https://img1.doubanio.com/icon/u154245485-9.jpg,97,,https://www.douban.com/people/154245485/,策马奔腾,看过,"
                    2021-07-29 15:50:01
                "
在国产剧和国产电影里已经濒临灭绝的那种流动的、无法被归类的感情竟然在一个离婚综艺里看到了,https://img2.doubanio.com/icon/u49446729-2.jpg,113,,https://www.douban.com/people/evening1012/,久丸野,看过,"
                    2021-09-12 22:35:51
                "
享受别人做的饭，却说出：以后别给我做饭了。我用唱歌取悦你，你却说从来就不喜欢听我唱歌。民政局回来到地库里，连一句“你慢点开”再也说不出口…婚姻的现实冷峻而刺骨，“越怕分开，越容易分开”，“我们最爱的人是同一个人”，“最珍惜的是，永远会给对方回馈的感觉”…最破防点竟来自郭柯宇那句“谢谢你把我保护的很好，让我可以肆无忌惮的天天在家看片” 心碎…朱雅琼X王秋雨：理智与情感。郭柯宇X章贺：傲慢与偏见。佟晨洁X kk魏巍：美女与野兽…最后感慨的是，节目组偷了我的歌单。,https://img1.doubanio.com/icon/u1005928-127.jpg,58,,https://www.douban.com/people/tjz230/,影志,看过,"
                    2021-10-21 01:37:57
                "
36问让我落泪，很多细节是18天显示出来的，更多的细节是在他们漫长的婚姻生活中的，那些复杂的、幽微的、爱恨交织的、难以言明的种种涌上心头，连我们外人看了也唏嘘。十几期节目里，每个人个性很鲜明，优缺点也明显，很多行为引来很多吐槽，但是后面又会有相应的揭示和补充，人就会显得丰满立体，有统一性和真实感。我觉得看这么多综艺以来，最能触动我的一个。,https://img9.doubanio.com/icon/u4112660-66.jpg,44,,https://www.douban.com/people/renjiananhuo/,邓安庆,看过,"
                    2021-10-15 23:08:28
                "
看戏的人都觉得可怕的程度，恐婚恐育的感觉更重了,https://img2.doubanio.com/icon/u202591976-1.jpg,47,,https://www.douban.com/people/202591976/,发霉的秋刀鱼,看过,"
                    2021-08-18 20:08:35
                "
降落地球这么多年，始终无法与人类共情的是，曾经那么相爱的人，到不爱了的时候，可以冷漠疏离到不如陌生人，甚至反目成仇，我不理解。,https://img1.doubanio.com/icon/u3984361-137.jpg,60,,https://www.douban.com/people/3984361/,小烨,看过,"
                    2021-08-15 17:08:02
                "
选题很好，在节目中看到导演出面，是女性！而且还邀请了拍离婚纪念照的女摄影师高美琳，非常用心了！很感人，许多细节都透露出女性创作者的细腻与体察,https://img2.doubanio.com/icon/u4602253-11.jpg,122,,https://www.douban.com/people/wuyexingstars/,午叶星,看过,"
                    2021-08-05 12:59:04
                "
章贺的帅全靠同性别的同行衬托,https://img9.doubanio.com/icon/u148653196-46.jpg,70,,https://www.douban.com/people/148653196/,江糊谝子,看过,"
                    2021-09-08 20:33:55
                "
郭柯宇章贺这一对来这个节目其实蛮尴尬的，因为都已经是离了的。但朱雅琼问郭柯宇你们为什么来到时候，我留意到章贺看了一眼郭姐姐，其实他内心还是有期待哎。,https://img2.doubanio.com/icon/u242580161-1.jpg,108,,https://www.douban.com/people/242580161/,没头脑,看过,"
                    2021-08-04 20:48:57
                "
妈的这真是我这么多年看过最好看的恋综（最好看的跟感情婚姻有关的综艺）！完全沉迷…太真实太细腻了，满屏都是无法解决的问题，和浓度很高的情感，互相之间噼里啪啦对撞，好看到哭 很感谢几位嘉宾愿意将自己面对甚至死磕人生难题的真实面貌这样暴露在镜头前，非常有力量,https://img9.doubanio.com/icon/u142094341-4.jpg,75,,https://www.douban.com/people/142094341/,Drink Me,看过,"
                    2021-09-02 15:10:38
                "
朱雅琼为什么会卑微成这种鬼样子？王秋雨也配有后代？就这样朱还给他生个儿子拖累自己老爸老妈带。 郭柯宇生个孩子十年把自己搞成养生老妈的形象，姐姐重新找个爱人吧，你和章贺根本不是一个世界的人，离他远点你可以活得很久。 kk这天天喝酒，再加上两个人年纪都这么大了，是否能怀上、生个健康孩子，要打一个大大的疑问号。模特姐姐这么美为什么要养个老儿子？,https://img2.doubanio.com/icon/u209907154-1.jpg,113,,https://www.douban.com/people/209907154/,Swan小时候,看过,"
                    2021-07-28 18:58:15
                "
对婚姻，对人性的解剖之深刻，就这么一点点揉碎了掰开，冷静而细致地呈现在眼前。导演不可谓不狠。是的，我认识她13年了，从认识的时候起就知道，是金子总会发光，她的作品必会有这一天。,https://img2.doubanio.com/icon/u2048001-2.jpg,53,,https://www.douban.com/people/flyingcaviar/,管小姐,看过,"
                    2021-08-05 15:31:24
                "
不要高估你对没有爱情的婚姻生活的容忍程度。,https://img2.doubanio.com/icon/u4438977-82.jpg,55,,https://www.douban.com/people/problemchildren/,国王KING,看过,"
                    2021-08-31 13:17:20
                "
朱雅琼这一对处于离婚冷静期，章贺这一对是已经离婚，而佟晨洁这一对是在考虑离婚。节目组选择嘉宾还是非常有代表性的，婚姻的三种状态都有体现。,https://img2.doubanio.com/icon/u242240795-3.jpg,45,,https://www.douban.com/people/242240795/,豆豆,看过,"
                    2021-08-04 09:01:11
                "
这个节目生态链还差一个社区大妈才完整，教你睁一只眼闭一只眼的那种,https://img2.doubanio.com/icon/u55842929-2.jpg,125,,https://www.douban.com/people/55842929/,谢明宏,看过,"
                    2021-08-01 21:20:37
                "
这个综艺里，包括嘉宾和观察员在内，都透露出一种极其真挚、坦诚的情感，这是演不出来的。,https://img9.doubanio.com/icon/u69467452-24.jpg,110,,https://www.douban.com/people/69467452/,树鹅,看过,"
                    2021-09-15 13:59:51
                "
年度最佳综艺。这次的“完美”已然超脱综艺节目程序化的“完美”，而是凌驾所有真人秀的“完美”。全中国唯一一个没有在作秀也把大家口口相传的所谓“中国式情感”展现出来的节目，甚至高于中国20年来任何一部自称探讨中国式亲情/爱情的家庭影视作品。整体而言，其情感内核设计水平远远高于《花少2》《offer》《爸爸去哪儿》《浪姐》等历年年度综艺，更已与其他主打娱乐大众的节目不在一条赛道上。,https://img9.doubanio.com/icon/u147178434-5.jpg,45,,https://www.douban.com/people/M78UltramanOnly/,M78星云奥特曼,看过,"
                    2021-10-31 04:07:33
                "
国内性别研究的一道奇观：在公众视野中最活跃的性别研究学者，是热衷于提供两性关系指南、分享婚姻经营之道、评论都美竹“一般人好好生活，没有贪念，没有胆大妄为，这种事就不会发生在你身上”的沈奕斐。,https://img2.doubanio.com/icon/u3798063-141.jpg,31,,https://www.douban.com/people/3798063/,Cory,看过,"
                    2021-10-03 01:00:32
                "
年度最佳综艺。低成本，高讨论度，芒果台还是会做节目。不只是让大家看到“人”，更重要的是看到感情的复杂。疲倦、嫌弃、否定、脆弱、逃避、嘴硬、似是而非……所有这些貌似“负面”的情绪和表达，往往也都是爱的一部分。纯甜的爱情只存在于低级文艺作品里，而真实的爱情都充满了细微的瑕疵和裂痕。爱会带给人最痛心的伤口，因为也曾带来过最闪亮的快乐。痛来自于爱。爱或许可以超越裂痕，但如果不能，也没关系，尽力过，就够了。毕竟，仔细看，人人皆有裂痕。裂痕原是自带的，只是被爱情反射出来罢了。,https://img1.doubanio.com/icon/u211073509-159.jpg,47,,https://www.douban.com/people/211073509/,每日可爱二百人,看过,"
                    2021-10-20 18:27:25
                "
看完后决定不会跟前任复合了,https://img1.doubanio.com/icon/u132428799-7.jpg,76,,https://www.douban.com/people/132428799/,不??,看过,"
                    2021-08-04 09:47:19
                "
女三的三个为什么？太振聋发聩了，对婚姻充满迷惑悲伤愤怒三种不同情绪的拷问。,https://img9.doubanio.com/icon/u49184307-54.jpg,49,,https://www.douban.com/people/lewishee/,paro,看过,"
                    2021-08-03 15:59:01
                "
终于追完了这个综艺，最想说章贺郭柯宇那组，不管他们感情真的如何，以后如何相处，最后一集下车披衣服时的拥抱我愿称之为国内偶像剧天花板！五星给整个节目组，立意明确节奏让人舒服，也给了我很多思考，真的很不错！,https://img2.doubanio.com/icon/u187844814-1.jpg,111,,https://www.douban.com/people/187844814/,Cici-,看过,"
                    2021-10-20 13:20:50
                "
所有真人秀都是假的。永远记住这句话。,https://img2.doubanio.com/icon/u44587822-13.jpg,12,,https://www.douban.com/people/44587822/,逆风的香,看过,"
                    2021-08-20 22:53:12
                "
才知道郭柯宇是当年《红樱桃》里的女主角。她和章贺这一对抛出了一个人生难题，一对爱人生活习惯爱好种种都千差万别怎么办，闪婚仅仅是因为你后背痒的时候，还没说往左点，往上点，这个人就挠到了这个地方。泰坦尼克号的爱只在船上，如果没有船难凝固的永恒，下船后他们该如何延续这份悬殊的爱意。,https://img1.doubanio.com/icon/u57966675-38.jpg,40,,https://www.douban.com/people/syfan/,Syfannn,看过,"
                    2021-09-15 16:24:33
                "
是近期追过的最好的综艺。节目已经摒除了钱和性这两个现实要素，你仍然会发现，人和人的深度链接是多么困难，人和人的相处模式又是多么错综复杂。真是应了那句老话：如人饮水冷暖自知。受益匪浅。,https://img2.doubanio.com/icon/u80435864-3.jpg,51,,https://www.douban.com/people/80435864/,自娱自乐的哑巴,看过,"
                    2021-10-23 21:15:38
                "
最后一期番外篇完全升华！不管怎么样，还是要多读书啊！,https://img2.doubanio.com/icon/u9312924-52.jpg,50,,https://www.douban.com/people/amily94ever/,Osmanthus?,看过,"
                    2021-10-27 14:19:37
                "
服了，章贺郭柯这对也太晋江了，人家那是先婚后爱，他俩是离婚后我学会了爱…… 其实我也觉得雅琼太自我了……虽然老王那种在生活里总是否定对方也很令人窒息，就早离早好，放过彼此吧。 一个人不爱吃香菜，另一个人非要给他夹香菜。 一个人很爱吃香菜，另一个人每天在耳边朗读一百遍香菜对人类的重大危害。 ?：佟晨洁，快跑,https://img1.doubanio.com/icon/u43533672-38.jpg,31,,https://www.douban.com/people/43533672/,色令昏昏,看过,"
                    2021-09-02 19:53:50
                "
郭姐太体面了，也给足了前夫体面，包括给孩子留一个爸爸的完美形象。关键性问题都语焉不详或打哈哈过去了。但魔鬼藏在细节里，每次谈到十年事业荒废期就暴哭，谈到生死攸关的疾病章贺是隐形的，谈到生活的拮据，谈到儿子怎么对爸爸朝思暮想……还不能说明这个玻璃渣子里捡糖吃的故事还有个不示人的版本吗？越看到后来，章贺立人设的企图心、对低级问题的追索、情绪价值为零种种都让人身心不适。 姐姐快逃！,https://img3.doubanio.com/icon/u1338358-20.jpg,40,,https://www.douban.com/people/JulyChan/,JulyChan,看过,"
                    2021-10-21 10:53:36
                "
“光有契约精神有什么用，每个条款都没有做好”,https://img9.doubanio.com/icon/u151808454-6.jpg,42,,https://www.douban.com/people/151808454/,熵同学,看过,"
                    2021-08-28 08:35:25
                "
挺真实的，王秋雨差不多是大部分中国直男的状态，不自爱也不会爱人，缺乏情感能力。年轻一点的夫妻交流更好点。但是婚姻真相在太残酷了还是,https://img1.doubanio.com/icon/u1636118-39.jpg,38,,https://www.douban.com/people/francesllx/,卢温迪,看过,"
                    2021-07-29 06:01:20
                "
看完前两期只想说漂亮姐姐们快跑。 不希望最后是离婚冷静期的宣传片,https://img2.doubanio.com/icon/u146796067-1.jpg,39,,https://www.douban.com/people/146796067/,天广地阔,看过,"
                    2021-08-11 11:21:21
                "
最后肯定得和好，不然怎么赞美离婚冷静期。但是节目组选人很用心了。三对嘉宾所呈现的问题特别典型。有几位在节目上也表现得自然真诚。“体面”、“尊重”、“界限”、“空间”、“自制”，声明不相爱的那对倒是有展现，如果你说自己爱对方却连这些人与人之间相处相交的基本都没有，只是想控制对方，用情绪和情感去压迫对方，任何事都只为自己考虑，把自己放在宇宙中心，那有爱情的婚姻真不如没有爱情的，更不如没有婚姻。,https://img2.doubanio.com/icon/u1548489-33.jpg,5,,https://www.douban.com/people/petitespot/,小斑,看过,"
                    2021-09-25 16:42:53
                "
拥有独立人格是第一位的，探索改善自我是第一位的，直接决定一个人生活质量高低，两个前提如果不成立，婚姻一样会变成弱联结，幸福将形同虚设。,https://img9.doubanio.com/icon/u2849243-95.jpg,19,,https://www.douban.com/people/2849243/,shininglove,看过,"
                    2021-10-25 18:52:04
                "
在漫长的一生里，分别和爱不一定是相悖的。,https://img2.doubanio.com/icon/u81101695-23.jpg,49,,https://www.douban.com/people/81101695/,世间始终你好,看过,"
                    2021-08-09 01:10:02
                "
看过韩版的，可能是本土化的原因，感觉比韩版更好看,https://img2.doubanio.com/icon/u184002289-11.jpg,99,,https://www.douban.com/people/184002289/,summerflowers,看过,"
                    2021-08-04 22:34:37
                "
