短评内容,头像,星级评分数,j,用户连接,用户名,是否看过,评论时间
中间漏了几期，有机会再补，跟少女喝酒+烧烤看完的，把周四过成了周五，嘻嘻,https://img2.doubanio.com/icon/u160825408-12.jpg,0,,https://www.douban.com/people/160825408/,🐈,看过,"
                    2021-10-21 23:12:08
                "
婚姻是 99%的现实加1%的浪漫 99%的容忍加1%的欣赏 99%的误解加1%的体谅 99%的平淡加1%的欢愉,https://img2.doubanio.com/icon/u49635591-23.jpg,4,,https://www.douban.com/people/49635591/,乌鸦岭,看过,"
                    2021-09-09 16:24:05
                "
看完很想去新疆……人和人的关系太复杂了，的确不是用某种情就可以粗暴的概括划分的，但飘渺的人生何必非要追求大团圆的happy ending，一瞬间的真心也是拥有。,https://img2.doubanio.com/icon/u166006374-3.jpg,0,,https://www.douban.com/people/166006374/,Megulm,看过,"
                    2021-12-22 10:34:33
                "
真希望六年前就看过这部，也许就能避开很多雷区吧。好多集都哭的稀里哗啦，不知道是在哭嘉宾还是在感怀自己,https://img1.doubanio.com/icon/u2059858-7.jpg,0,,https://www.douban.com/people/ysshw/,dlf,看过,"
                    2021-12-21 06:52:48
                "
对最后的决定不在意，整个过程看的十分入迷眼泪汪汪的，好真好真,https://img3.doubanio.com/icon/u91689493-10.jpg,0,,https://www.douban.com/people/91689493/,白眼oo达子,看过,"
                    2021-10-24 02:28:54
                "
"是这些年来看过最好的真人秀综艺，展现出来了人的很多个面向，潜意识里也都藏满了充沛的情感。我也很喜欢《婚姻故事》，也相信，不是所有的离别都完全是坏的，带着恨的。很开心能够看着三对嘉宾，在旅程中感悟学习，一起和解，仪式感地告别。

特别被番外篇中郭老师那句话打动，“我愿意相信你的眼泪”。",https://img9.doubanio.com/icon/u191473116-4.jpg,1,,https://www.douban.com/people/191473116/,江叁叁,看过,"
                    2021-11-15 14:42:38
                "
不止可以反思婚姻，可以学着反思一段亲密关系。,https://img9.doubanio.com/icon/u106295044-16.jpg,0,,https://www.douban.com/people/106295044/,余贰,看过,"
                    2021-08-05 18:25:50
                "
推荐给所有人看，不管你现在处于什么阶段、是否走入婚姻，你都将收获爱与感动！三对夫妻很勇敢，敢于参加节目，把自己的情感剖析给观众，这真的需要勇气！三对夫妻里，很喜欢“章宇夫妇”，章贺霸道但温暖，总是时刻关注郭柯宇，他一定是爱她的~还爱着的~眼神骗不了人！郭柯宇好优雅，很有气质，说话好温柔，唱歌好好听，还给开车的章贺念诗，真的是十足的文艺女青年！真的替他们可惜~但就像他们自己说的，结束了就是结束了，只想记住彼此的好！这次旅程只是为他们以后的相处和沟通提供了一种最为舒服的方式，祝福他们能收获爱与自由！也祝福“人间清醒”佟晨洁能永远被爱！祝福“快乐王子”KK魏巍永远快乐！祝福“人间真实”王秋雨多爱自己！祝福“童话公主”朱雅琼永远潇洒！,https://img2.doubanio.com/icon/u196028177-2.jpg,0,,https://www.douban.com/people/196028177/,虫虫儿,看过,"
                    2021-11-15 17:11:22
                "
百感交集,https://img9.doubanio.com/icon/u138257762-5.jpg,0,,https://www.douban.com/people/138257762/,Echo,看过,"
                    2021-10-20 17:37:43
                "
去问时光吧,https://img9.doubanio.com/icon/u185740855-4.jpg,1,,https://www.douban.com/people/185740855/,🍅,看过,"
                    2021-10-27 18:47:36
                "
自己看一遍，和伴侣看一遍，是不同的感受，手写信真的很好。,https://img2.doubanio.com/icon/u68176025-1.jpg,0,,https://www.douban.com/people/68176025/,不是好望角,看过,"
                    2021-10-28 10:47:26
                "
还挺下饭的,https://img1.doubanio.com/icon/u182930366-8.jpg,0,,https://www.douban.com/people/182930366/,你我皆凡人,看过,"
                    2021-10-22 10:59:04
                "
宝剑嫂推荐！ day1追了三集，好上头。加上自己最近对这类问题非常感兴趣，看的也很起劲。目前来讲，场外场内嘉宾都很真实，常常有说到让人频频点头的地方。三对的状态也非常有意思。甚至想明天早八起来追综艺哈哈哈哈。 day3看完了！哈哈哈哈！好看！结尾的信好感动！,https://img2.doubanio.com/icon/u209304866-11.jpg,0,,https://www.douban.com/people/209304866/,鱼,看过,"
                    2022-02-06 21:49:47
                "
每集都爆哭～看不懂郭柯宇和章贺这对，迷惑～不喜欢做作的朱雅琼～喜欢人间清醒佟晨洁和小太阳魏巍～不喜欢假假的孙怡～,https://img2.doubanio.com/icon/u151633458-2.jpg,0,,https://www.douban.com/people/151633458/,佳佳,看过,"
                    2021-11-26 23:27:28
                "
看过的最好看的真人秀综艺,https://img9.doubanio.com/icon/u160011888-6.jpg,0,,https://www.douban.com/people/160011888/,W,看过,"
                    2021-10-23 21:00:48
                "
还是不错的，观察感情，和他们比起来自己差点步入婚姻的将近六年的爱情不算什么吧,https://img2.doubanio.com/icon/u146643768-2.jpg,0,,https://www.douban.com/people/Mieji/,咩佶,看过,"
                    2022-02-09 20:54:34
                "
中间有几期很想打低分，但最后一期还是觉得这节目真不错。不错就在于展现了人的复杂，对比起来各种地方写的细节分析，人物分析几乎全是片面的，扯淡的。,https://img2.doubanio.com/icon/u62183318-1.jpg,1,,https://www.douban.com/people/SidoChen/,SidoChen,看过,"
                    2021-10-20 16:10:46
                "
看番外篇哭成了煞笔。 我愿称其为我短暂人生里目前看过最好的爱情纪实大片！就算前几集有再多的意难平，在番外篇里都落幕于盛大的“和解”。 “无苦之乐哪叫乐，愿你以后足具乐与乐因，自在生活。” 它让我看到原则底线完全冲突的人也可以在一起，用纯粹的爱磨合出沙漠里的玫瑰。生活中最动人的语言也不过是一句“几点的飞机”、“天冷了多穿衣”。 ……激情消退，温情永存。,https://img2.doubanio.com/icon/u182007164-1.jpg,0,,https://www.douban.com/people/182007164/,Claire,看过,"
                    2021-09-09 00:03:00
                "
完了我感觉我是老王   ｜完番外篇补：节目组真的很用心 每个人 都是 人 都有自己的生活智慧 有情绪有脾气  以前只是觉得郭柯很绝 现在觉得kk做出改变也很了不起 雅琼真诚可爱很可贵 老王踏实生活其实也很善良..   人生 路途 抓住那些很妙的瞬间 就很棒了,https://img2.doubanio.com/icon/u207301507-3.jpg,0,,https://www.douban.com/people/207301507/,Sora,看过,"
                    2021-10-22 08:17:47
                "
节目太真实了，我仿佛离了三次婚。。。看到后半期，孙怡真是人间清醒，男人真的不行，胡彦斌在哪瞎和什么稀泥,https://img2.doubanio.com/icon/u189386443-1.jpg,0,,https://www.douban.com/people/189386443/,闹闹323,看过,"
                    2021-11-02 18:25:06
                "
四星，画面美加一星,https://img2.doubanio.com/icon/u230523355-1.jpg,0,,https://www.douban.com/people/230523355/,C L,看过,"
                    2021-10-20 23:36:41
                "
一部难得的 能让人沉静 带给人思考的综艺。,https://img2.doubanio.com/icon/u152815646-2.jpg,0,,https://www.douban.com/people/152815646/,琢,看过,"
                    2021-11-15 11:02:16
                "
我看的小说结尾了,https://img2.doubanio.com/icon/u143647597-2.jpg,0,,https://www.douban.com/people/143647597/,愁人人愁,看过,"
                    2021-10-24 16:40:23
                "
年度最佳情感综艺,https://img9.doubanio.com/icon/u189775553-26.jpg,0,,https://www.douban.com/people/189775553/,Chivalry,看过,"
                    2021-10-24 15:03:45
                "
瑕不掩瑜，会在这三对人身上看的很多问题，引发自我的思考！期待第二季！,https://img9.doubanio.com/icon/u173577565-6.jpg,0,,https://www.douban.com/people/173577565/,虚白,看过,"
                    2021-10-24 15:13:00
                "
婚姻必修课了属于是，对刚步入婚姻的我来说。平等，沟通，反省，稳定……,https://img9.doubanio.com/icon/u197333595-5.jpg,0,,https://www.douban.com/people/197333595/,珍妮朱古力🍫,看过,"
                    2022-03-28 11:33:19
                "
日常恐婚,https://img2.doubanio.com/icon/u164368945-11.jpg,0,,https://www.douban.com/people/Y09209426498/,摆烂王,看过,"
                    2021-08-29 22:40:12
                "
"唉  亲密关系的经营真是一门终身没法参透的学问，值得不断地去钻研。随着年岁渐长，也越发明白人与人之间的个体差异是极大的，如果用片面的视角去度量，那他或她就成了没有灵魂的二维抽象纸片人。
看得出来节目组挺用心的，文案画面都是满分！
但它终究是一档真人秀，而不是楚门的世界。。。有些情节我实在是不能""理解。。。",https://img3.doubanio.com/icon/u167949009-10.jpg,0,,https://www.douban.com/people/167949009/,小羊咩咩,看过,"
                    2021-12-21 19:37:20
                "
好几集都看哭，很真实有感同身受，特别是章鱼夫妇，真好,https://img2.doubanio.com/icon/u197502508-2.jpg,1,,https://www.douban.com/people/197502508/,大种人的觉悟,看过,"
                    2021-11-15 19:51:11
                "
章贺相比起来好像是男生中最好的一个，但是他几次拱火的行为实在让人反感。,https://img2.doubanio.com/icon/u187896892-1.jpg,0,,https://www.douban.com/people/187896892/,wabita,看过,"
                    2021-11-15 12:48:29
                "
催更团剖析深刻，抓住问题，让人不想跳过；三对夫妻反映了很多夫妻相处中的矛盾问题。这台综艺的最终目的不是让大家恐婚，而是给自己反思的时间，积累更多更好的相处经验，知道怎么样做是维持关系的，怎样做是伤害对方的，是不对的,https://img2.doubanio.com/icon/u137593764-1.jpg,0,,https://www.douban.com/people/137593764/,inverterbin,看过,"
                    2021-09-16 21:05:46
                "
如果没有剧本，值得5星,https://img2.doubanio.com/icon/u76691282-3.jpg,0,,https://www.douban.com/people/76691282/,宋宋,看过,"
                    2022-03-25 09:21:25
                "
通过多重设计深入剖析了三对爱人走不下去的原因，也加入多道关卡试图帮他们重拾昔日爱意。主旋律却又不媚俗得惹人烦，深刻则是跟难得的。,https://img2.doubanio.com/icon/u160985295-1.jpg,0,,https://www.douban.com/people/160985295/,啊瓢啊瓢,看过,"
                    2021-10-16 11:17:33
                "
节目组真的有在好好珍惜嘉宾们，郭老师的片尾曲写的可太好了,https://img2.doubanio.com/icon/u16413192-3.jpg,0,,https://www.douban.com/people/16413192/,camouflage,看过,"
                    2021-10-20 22:19:26
                "
唏嘘，是今年最好的素人综艺。,https://img9.doubanio.com/icon/u147099372-4.jpg,0,,https://www.douban.com/people/147099372/,江糊骗子,看过,"
                    2021-11-11 05:39:03
                "
结局我只看了郭柯那一对的节选，画面唯美得像电影一样，感动是真的。但是吃了剧外后续的瓜，看得我愈发对男人下头。,https://img2.doubanio.com/icon/u133635829-13.jpg,0,,https://www.douban.com/people/133635829/,Ice cream plz,看过,"
                    2021-12-27 01:41:34
                "
嘉宾选择都太太太典型了。会还是你郭姐会，看了那个冲击性拥抱n遍以后听到一句“不用说，我知道”，这才直接击爆我泪点啊啊啊啊，然后再来个公主抱，郭姐太会了啊啊啊啊啊～～～～～,https://img9.doubanio.com/icon/u204647305-15.jpg,1,,https://www.douban.com/people/204647305/,Huggsy,看过,"
                    2021-10-20 14:24:53
                "
真人秀，看看就好。真人秀，不看也罢。,https://img1.doubanio.com/icon/u216979292-7.jpg,0,,https://www.douban.com/people/216979292/,一一,看过,"
                    2021-11-30 14:46:04
                "
哭死我了,https://img2.doubanio.com/icon/u194622553-2.jpg,0,,https://www.douban.com/people/194622553/,想吃新疆炒米粉,看过,"
                    2021-08-20 20:04:06
                "
"没怎么有过恋爱经验，一直以来最爱的就是不爱，只会逃避，不敢去爱。担心自己的爱会成为负担。太多问题，折射到自己。而现在已经开始想要好好学会去爱自己和别人了。慢慢去接受了爱的两面性。或许是长大后自我性开始批判和反思了。爱有时候真的就没那么具体和写意。享受此刻就够了。享受着灵魂共振的一刻，看节目的时候觉得章郭不要往下走也是好的，停在这个节目的很多时刻。比以后要经营的婚姻和性还有孩子重要的太多。但这也是太浪漫和奢侈的想法了。因为爱的稀缺，人往往才会想珍藏住爱，想要被看见。因为到最后的某一天，你会发现所有人都是一样，没有人再特别。而爱真的会消失。

",https://img9.doubanio.com/icon/u196557739-5.jpg,1,,https://www.douban.com/people/196557739/,阿X,看过,"
                    2021-11-02 20:46:38
                "
好看！真性情！教科书！,https://img2.doubanio.com/icon/u153216114-11.jpg,0,,https://www.douban.com/people/153216114/,Viola,看过,"
                    2022-01-28 21:46:49
                "
有戏剧性也有深度 甚至当成旅行综艺看也不错,https://img1.doubanio.com/icon/u163775138-8.jpg,4,,https://www.douban.com/people/sprimzxxrose/,枇哩葩啦烟花颂,看过,"
                    2021-09-16 01:12:38
                "
男人是魔鬼,https://img9.doubanio.com/icon/u145081133-6.jpg,0,,https://www.douban.com/people/145081133/,Maynono,看过,"
                    2022-01-23 23:33:15
                "
值得一看，不过建议结婚的人看，否则容易受打击，哈哈哈哈，不过很真实了。也由此看出，出现问题，绝不是仅仅一方的问题，真的是双方问题，没有对错，只有合不合适,https://img1.doubanio.com/icon/user_normal.jpg,0,,https://www.douban.com/people/72200711/,waterwater19,看过,"
                    2021-08-28 12:25:06
                "
没有讨厌任何一个嘉宾，他们都是非常有勇气的人，能将感情这样私密的事情展现在观众面前。非常好的嘉宾，非常好的节目组，非常好的节目。 ,https://img2.doubanio.com/icon/u87080762-2.jpg,0,,https://www.douban.com/people/87080762/,messibility,看过,"
                    2021-10-31 10:30:50
                "
透过别人的故事看自己  ,https://img1.doubanio.com/icon/u198932422-8.jpg,0,,https://www.douban.com/people/198932422/,chen,看过,"
                    2021-11-09 18:00:59
                "
看了三期，没有继续的动力,https://img1.doubanio.com/icon/user_normal.jpg,0,,https://www.douban.com/people/205627377/,lamchiu,看过,"
                    2021-09-10 16:05:53
                "
今年到现在最好的综艺,https://img1.doubanio.com/icon/u190559338-17.jpg,5,,https://www.douban.com/people/190559338/,Anne,看过,"
                    2021-08-25 23:04:39
                "
选角让这个综艺成功了一大半，虽然题材有借鉴，但是做的还不错,https://img2.doubanio.com/icon/u159600814-22.jpg,1,,https://www.douban.com/people/159600814/,Y.U,看过,"
                    2021-09-09 12:34:38
                "
不错的 冲突很直接 演播室两位老师很加分,https://img2.doubanio.com/icon/u104245696-11.jpg,0,,https://www.douban.com/people/104245696/,追风,看过,"
                    2021-08-15 09:01:53
                "
真的不错。,https://img2.doubanio.com/icon/u173955829-3.jpg,0,,https://www.douban.com/people/173955829/,A,看过,"
                    2021-12-23 19:07:32
                "
2021最爱综艺,https://img1.doubanio.com/icon/u181528350-8.jpg,0,,https://www.douban.com/people/181528350/,Ddmarf,看过,"
                    2022-03-13 14:18:37
                "
今天12期，好像是不是该完结了。还没看最新的节目，但是看见标题“朱雅琼挥泪告别老王”就想说，先来写完观后感再怀着不舍的心情看最后一期节目吧。朱雅琼真的不爱老王才要分开吗？我觉得不是的。那个感觉大概也许就是还是很爱他，但是已经发现了自己在感情里不断受挫而变得匮乏干涸，再继续下去会让自己被吸干——她为了保留住自己最珍贵的东西，在忍痛好好道别吧。害，如果真的是我理解的这样，那我只能说我太懂这是什么感受了。以及，如果有机会做三十六问，我很愿意（新知识：亚瑟阿伦的自我暴露理论。,https://img2.doubanio.com/icon/u204297477-1.jpg,0,,https://www.douban.com/people/204297477/,呜啦啦啦啦,看过,"
                    2021-08-31 17:33:47
                "
通宵看完，我哭的稀里哗啦,https://img2.doubanio.com/icon/u156529656-2.jpg,0,,https://www.douban.com/people/156529656/,零度-上,看过,"
                    2022-01-21 09:32:09
                "
祝我最喜欢的章鱼夫妇永远快乐 双鱼天蝎yyds,https://img1.doubanio.com/icon/u129637950-18.jpg,0,,https://www.douban.com/people/129637950/,葡聚糖,看过,"
                    2021-10-21 20:02:03
                "
我真心希望小朱能越来越好！喜欢她说的一句话“我的世界变得越来越大，感情就变得越来越小了。” 她值得更好的！,https://img2.doubanio.com/icon/u63275699-13.jpg,0,,https://www.douban.com/people/63275699/,西瓜杀手,看过,"
                    2021-10-15 02:11:13
                "
在干净的院子里读你的诗歌 这人间情事 恍惚如突然飞过的麻雀儿 ——我对这个综艺的印象诗（,https://img1.doubanio.com/icon/u165766199-8.jpg,3,,https://www.douban.com/people/165766199/,斯塔,看过,"
                    2021-10-06 09:53:24
                "
看哭了,https://img1.doubanio.com/icon/u183368885-17.jpg,0,,https://www.douban.com/people/183368885/,Sy＿Jessica,看过,"
                    2021-08-08 13:33:32
                "
挺好看的 期待最后一集 光是预告就哭的稀里哗啦,https://img2.doubanio.com/icon/u184325628-1.jpg,4,,https://www.douban.com/people/184325628/,Susan说,看过,"
                    2021-10-09 12:16:22
                "
没有想到在三对男女的身上可以发现那么多普世情感问题，爱是瞬间，爱是一种恰如其分的完美，一见钟情的感觉无法复刻，就意味着难以持续,https://img1.doubanio.com/icon/u123345990-7.jpg,3,,https://www.douban.com/people/123345990/,花盆,看过,"
                    2021-09-19 16:39:24
                "
放过彼此，更好生活,https://img9.doubanio.com/icon/u156242598-4.jpg,0,,https://www.douban.com/people/156242598/,Arisa,看过,"
                    2021-08-09 14:48:25
                "
看了第一集 这几个男的真的是🙄自己不善表达没有感知能力还有理了哦🤷🏻‍♀️只能说结婚需谨慎。                                                         看到结局了，感觉章贺还可以，最后那一抱啊啊啊啊啊啊（主题曲竟然是郭姐姐唱的，好好听！！（和郭姐姐有些地方有点像，但好想成为佟姐姐那么清醒的人啊,https://img2.doubanio.com/icon/u140342867-1.jpg,0,,https://www.douban.com/people/140342867/,Ariel28,看过,"
                    2021-11-25 21:22:12
                "
整个综艺看下来，唯一哭的一次竟然是在番外篇。郭老师读着节目组给她的手写信“天凉了，早上多穿点，晚上多盖点被子”，哽咽地说不出话，镜头给到制作组，大家都红了眼，我在屏幕前也忍不住流泪。郭老师是我看过温柔得最有力量的人。“让那些不懂得珍惜我们的人，慢慢的老去吧，慢慢地远去吧”，对于那些不珍惜自己的人，就沉默着慢慢走远吧，属于自己的路会更广阔。希望郭老师未来能多多演戏，要能有全度妍那样的剧本就好了😭,https://img1.doubanio.com/icon/u181124176-19.jpg,1,,https://www.douban.com/people/181124176/,陈碗豆花,看过,"
                    2021-11-03 22:33:07
                "
立体又生动  人在感情里看见的都是自己 ,https://img9.doubanio.com/icon/u171997516-6.jpg,3,,https://www.douban.com/people/171997516/,旺旺打火机,看过,"
                    2021-09-20 01:13:48
                "
2021难得的宝藏综艺，再/见爱人or再见/爱人，结果不是最重要的，需要珍藏的是你我曾有的经历回忆。太多金句，太多共鸣。期望第二季不要拉胯。,https://img9.doubanio.com/icon/u35647808-14.jpg,1,,https://www.douban.com/people/flyer312/,四个菲kathy,看过,"
                    2021-11-03 23:30:57
                "
好看,https://img2.doubanio.com/icon/u236454264-1.jpg,0,,https://www.douban.com/people/236454264/,豆友236454264,看过,"
                    2022-03-25 01:46:52
                "
为了郭柯宇,https://img2.doubanio.com/icon/u15258014-12.jpg,0,,https://www.douban.com/people/15258014/,牡蛎之歌,看过,"
                    2022-03-20 11:37:50
                "
给人带来很多思考和感动 就是这个节目最大的成功吧 我还是愿意相信 90以上是真实的,https://img2.doubanio.com/icon/u48979918-1.jpg,0,,https://www.douban.com/people/48979918/,沉默的角落,看过,"
                    2021-10-27 15:31:00
                "
看了两期，看不下去了，太让人不适了。也许后面会倍速看。这三个男的都像是流水线生产出来的一样空心人，恐怖，都从来没想过“自己是谁”，自己想要什么，探索过这些问题，所以不断地为一些虚无缥缈的面子、名面上的东西、他人的评价而奋斗着，绝对不要跟这样的人进入亲密关系。 不知道要什么才会为兄弟会面子而出现两极化：在朋友面前敞亮大方，在家庭里暴躁有病；不知道要什么才会一直追求房子车子孩子，但完全忽视身边人。人活得这么完整、追求自己的幸福，不是为了后半生跟一个空心人浪费生命的。,https://img1.doubanio.com/icon/u151849203-19.jpg,1,,https://www.douban.com/people/PerfectTrout/,银色树梢,看过,"
                    2021-10-23 17:59:05
                "
郭柯宇,https://img3.doubanio.com/icon/u144132222-50.jpg,0,,https://www.douban.com/people/144132222/,Jazzelle,看过,"
                    2021-11-30 18:17:58
                "
强推,https://img2.doubanio.com/icon/u175064277-1.jpg,0,,https://www.douban.com/people/175064277/,她说,看过,"
                    2021-10-27 15:34:52
                "
确实泛滥的恋综里面，离婚反而让人更清醒，无论是对婚姻抱有何种想法的人，已婚的未婚的，都能受到启发，观察团也不拉胯,https://img2.doubanio.com/icon/u222143989-2.jpg,4,,https://www.douban.com/people/222143989/,那就这样吧,看过,"
                    2021-08-26 08:21:08
                "
章哥什么时候才能明白郭姐说的话都在表达“我爱过你”。只要郭姐想，没有人会不爱她，最后的拥抱郭姐太会了。,https://img9.doubanio.com/icon/u204934987-4.jpg,1,,https://www.douban.com/people/204934987/,March,看过,"
                    2021-10-20 17:25:04
                "
今年看过最棒的情感类综艺，忘记打分了。找对象总得图一样，不能要一头没一头。,https://img9.doubanio.com/icon/u201230450-14.jpg,0,,https://www.douban.com/people/201230450/,behappy,看过,"
                    2021-12-15 15:44:50
                "
最后节目组的手写信件太赞了,https://img2.doubanio.com/icon/u200791514-1.jpg,0,,https://www.douban.com/people/200791514/,简,看过,"
                    2022-03-16 13:05:49
                "
看过之后对婚姻关系有了新的理解,https://img1.doubanio.com/icon/u156818889-9.jpg,2,,https://www.douban.com/people/156818889/,磕学家,看过,"
                    2021-09-23 10:47:21
                "
（🚬,https://img2.doubanio.com/icon/u124658265-43.jpg,0,,https://www.douban.com/people/124658265/,少女祺,看过,"
                    2021-12-23 16:00:48
                "
一期期追下来的综艺，今天完结了 两个嘴硬拧巴的人HE了 身体和内心，比语言坦诚 是舍不得 是爱,https://img2.doubanio.com/icon/u54904251-2.jpg,0,,https://www.douban.com/people/wxiaoxin/,夏旭,看过,"
                    2021-08-20 01:00:37
                "
很久没有因为一档节目哭得撕心裂肺。每一段感情都在温情和残忍里游走。因为现实，所以更加直击灵魂。通过这个节目也给了自己很多对亲密关系的思考。,https://img2.doubanio.com/icon/u188195083-12.jpg,0,,https://www.douban.com/people/188195083/,doweveriwant,看过,"
                    2022-03-20 07:14:02
                "
大结局暴风哭泣,https://img2.doubanio.com/icon/u147367334-3.jpg,0,,https://www.douban.com/people/147367334/,Roxanne,看过,"
                    2021-10-22 23:34:48
                "
探讨婚姻当然深度不亚于一部8.5电影，新疆很美，音乐很棒，制作用心。,https://img2.doubanio.com/icon/u178583013-2.jpg,0,,https://www.douban.com/people/178583013/,May,看过,"
                    2021-10-21 00:07:38
                "
是好哭的，直呼内行,https://img2.doubanio.com/icon/u153979163-3.jpg,0,,https://www.douban.com/people/153979163/,Joseph-q,看过,"
                    2021-10-28 16:38:13
                "
感慨最深的是王秋雨和朱雅琼，果然be更令人难忘,https://img9.doubanio.com/icon/u149127789-4.jpg,1,,https://www.douban.com/people/149127789/,做个梦给你,看过,"
                    2021-11-03 20:34:37
                "
难得好看的综艺，观察室里融洽又有梗，全员都很合适。我是看到章贺唱出现又离开之后彻底爱上了这个综艺，进入他们的感情纠缠里出不来了。三对我目前都是劝分不劝和的态度，只是对章贺和郭柯宇的情感比较遗憾，两个人相处的感觉就好像谈恋爱的小男女，但是他们的默契就好像白头到老的夫妻😭😭 看完36问这一期来更新，哭的我稀里哗啦，说实话很少有综艺让我三番五次的哭，很幸运能这么认真的看去这个综艺，因为我很少能代入自己的感情，但这次我明显进去了，我现在觉得章贺郭柯宇分开很正确，其实之前郭柯宇说给章贺洗一下午衣服那次我就觉得，他们现实生活中不幸福，那不是他们想过的生活。分开吧，去过自己想过的生活！祝福你们！,https://img2.doubanio.com/icon/u202450008-2.jpg,0,,https://www.douban.com/people/202450008/,厘执意,看过,"
                    2022-01-06 07:41:58
                "
